name,ingredients,diet,flavor,course,state,region,style,category,source
Lilva Kachori,"green garlic chutney, fresh green peas, ginger, lemon juice, plain flour",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Mag Dhokli,"moong beans, jaggery, red chillies, oil, salt",vegetarian,spicy,snack,gujarat,west,,,indian_food
Khichu,"rice flour, sesame seeds, baking soda, peanut oil",vegetarian,spicy,snack,gujarat,west,,,indian_food
Thepla,"chickpea flour, methi leaves, jowar flour, wheat flour",vegetarian,spicy,snack,gujarat,west,,,indian_food
Farsi Puri,"semolina, clarified butter, oil, white flour, black pepper",vegetarian,,snack,gujarat,west,chaat,,indian_food
Khaman,"yogurt, fresh coconut, sesame seeds, semolina, gram flour",vegetarian,spicy,snack,gujarat,west,chaat,,indian_food
Turiya Patra Vatana sabji,"ridge gourd, baking soda, sugar, grated coconut, peas",vegetarian,spicy,main course,gujarat,west,,,indian_food
Churma Ladoo,"whole wheat flour, khus khus, sesame seeds, dry coconut, gur",vegetarian,sweet,dessert,rajasthan,west,,,indian_food
Cheera Doi,"rice, mango, curd",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Gheela Pitha,"sticky rice, rice flour, jaggery, orange rind",vegetarian,sweet,dessert,assam,north east,,,indian_food
Khar,"raw papaya, panch phoran masala, nigella seeds, mustard oil, fennel seeds",vegetarian,,main course,assam,north east,,,indian_food
Kumol Sawul,"rice, eggs, carrot, beetroot",non vegetarian,spicy,main course,assam,north east,,,indian_food
Luchi,"maida, vegetable oil",vegetarian,,main course,west bengal,east,,,indian_food
Alu Pitika,"potatoes, mustard oil, fish, green chillies",non vegetarian,spicy,main course,assam,north east,,,indian_food
Masor tenga,"ridge gourd, fish, lemon, tomatoes, mustard oil",non vegetarian,spicy,main course,assam,north east,,,indian_food
Bengena Pitika,"brinjal, onions, salt, sesame seeds, coriander",vegetarian,,main course,assam,north east,,,indian_food
Bilahi Maas,"potatoes, garam masala, tomatoes, mustard oil, bay leaf",non vegetarian,,main course,assam,north east,,,indian_food
Black rice,"forbidden black rice, chicken, olive oil, slivered almonds, garlic powder",non vegetarian,,main course,manipur,north east,,,indian_food
Bora Sawul,"biryani masala, mixed vegetables, yellow moong daal, whole red, mustard seeds",vegetarian,spicy,main course,assam,north east,,,indian_food
Brown Rice,"brown rice, soy sauce, olive oil",vegetarian,,main course,,,,,indian_food
Chingri malai curry,"coconut milk, lobster, fresh green chilli, ginger, red onion",non vegetarian,spicy,main course,west bengal,east,,,indian_food
Goja,"baking soda, clarified butter, oil, all purpose flour",vegetarian,sweet,dessert,west bengal,east,,,indian_food
Hando Guri,"jaggery, raisins",vegetarian,sweet,dessert,assam,north east,,,indian_food
Haq Maas,"lamb, garam masala powder, curd, turmeric, bay leaf",non vegetarian,spicy,main course,assam,north east,,,indian_food
Chingri Bhape,"coconut, prawns, curd, mustard seed, green chili",non vegetarian,,main course,west bengal,east,,,indian_food
Kabiraji,"fish fillet, besan, lemon, mint, ginger",non vegetarian,spicy,main course,west bengal,east,,,indian_food
Khorisa,"fermented bamboo shoot, potato, ginger, green, mustard oil",vegetarian,spicy,main course,assam,north east,,,indian_food
